Model,RMSE,MAE,R²
LSTM,473009.81172064494,463409.875,-32.129310607910156
Transformer,751735.4019600247,748722.625,-82.67622375488281
SARIMAX,308065.43093372264,306037.61064102943,-13.052644077374463
